,CVE_ART,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
297,CS14D2017B20,222.14,1402.92
298,TP0005,87.1,288.19
299,TEA00006,2380.95,4719.05
300,TUE00042,8334.25,0.0
301,TP0011,719.0,1631.0
302,RM00017,2644.78,2005.72
303,TUA00134,1819.85,7487.35
304,PT00063,1346.28,1749.72
305,TUA00432,1783.73,2724.47
306,BB1 1/2X1/2-300W,440.0,484.0
307,TP0001,77.92,137.6
308,TUA00371,417.45,1959.55
309,CAS00075,2617.65,5775.15
310,CAS00076,5266.17,10911.33
311,BB1 1/2X1/2-300W,220.0,165.0
312,TUA00175,1509.17,7929.63
313,TUA00241,1305.27,7424.73
314,TU5/16X230MM,212.44,787.46
315,TUA00222,716.01,1714.99
316,TUE00333,195.77,1714.24
317,TUA00421,2102.1,3978.9
318,TUE00103,497.3,2202.7
319,TP0012,220.69,1654.31
320,BB1 1/2X1/2-300W,220.0,242.0
321,TUE00340,563.27,2257.93
322,BS00011,153.86,1636.14
323,TUA00124,1082.88,2133.12
324,TUS00115,420.72,2270.88
325,BL00022,112.11,597.89
326,PT00047,4880.41,8061.59
327,ECQ-01444,1522.13,4584.37
328,TP0010,426.19,921.81
329,TUA00429,1252.74,2653.78
330,TP0011,287.6,708.4
331,TUA00419,327.61,1677.89
332,BE00016,60.56,508.41
333,BL00054,349.45,1350.55
334,BO00058,1805.76,3789.24
335,TUE00207,1179.22,435.78
336,TUA00422,319.43,859.82
337,TUA00422,319.43,859.82
338,TUA00424,417.02,1431.38
339,TUA00424,417.02,1431.38
340,BP00089,264.34,1724.46
341,TU5/16X230MM,212.44,787.46
342,P114I1D4A000,197.3,1121.66
343,BP00257,389.9,1860.1
344,TP0001,77.92,111.08
345,TP0002,102.71,203.29
346,TP0001,77.92,118.08
347,RP00165,5211.65,8788.35
348,TP0016,222.0,510.0
349,TU5/16X230MM,400.6,1599.22
350,TP0005,870.97,1779.83
351,TUA00433,3102.37,11072.63
352,CBE00028,752.71,1742.29
353,TK00034,519.02,331.18
354,BP00259,89.76,395.54
355,BP00260,72.34,497.96
356,TUA00200,5131.02,7254.98
357,TUE00161,233.93,3334.07
358,RP00182,2448.37,5454.83
359,TUA00099,3820.84,6226.16
360,PA00001,6978.64,6821.36
361,TR51G1125A00,97.0,488.13
362,CS12E2040A00,286.12,1957.88
363,CS12F2040A00,353.34,1890.66
364,TK00063,686.66,1443.34
365,BL00001,50.94,528.72
366,BP00258,45.28,754.72
367,EE00003,14.76,1170.24
368,BOE00012,6822.37,11420.51
369,BOE00013,6981.76,16684.54
370,TP0008,211.36,480.32
371,TP0022,410.21,452.12
372,TP0001,38.96,81.04
373,BO00005,3120.88,33879.12
374,TP0003,2215.69,1534.31
375,TP0003,142.5,238.54
376,TEA00016,1420.68,2279.32
377,RP00184,102.22,533.99
378,TEA00017,1506.97,1247.03
379,BN00248,779.66,3420.34
380,BN00249,344.57,645.43
381,BN00250,310.03,398.97
382,BN00251,177.36,177.14
383,BP00149,649.37,5946.37
384,BP00150,854.65,4187.27
385,BE00011,75.32,1485.18
386,BE00012,89.08,1509.16
387,BE00013,96.18,1547.6
388,BE00015,102.18,1576.68
389,TP0003,72.37,118.15
390,BB1 1/2X1/2-300W,220.0,215.0
391,TUS00116,64.91,462.68
392,TUS00118,258.43,946.57
393,TP0015,173.0,531.5
394,TUE00319,12855.68,61844.32
395,151.7208,782.48,773.87
396,TUA00096,116.73,790.77
397,TP0024,145.47,349.53
398,TP0022,410.21,452.14
399,TUE00025,316.4,1235.32
400,MA00016,6.69,532.1
401,RP00180,24.0,363.93
402,RP00171,258.21,761.79
403,BOBINA001,20448.01,57511.19
404,BB1 1/2X1/2-300W,220.0,225.0
405,TUA00219,5369.65,12786.35
406,TUS00020,323.44,5682.56
407,TUA00434,244.91,811.12
408,CS12F1040A00,533.7,2841.3
409,CS12H1050A00,547.28,3332.32
410,ECQ-00972,9152.38,27730.12
411,ECQ-01444,736.48,2316.77
412,ECQ-00972,3567.53,11185.47
413,ECQ-01444,2373.3,6786.45
